TestNo,TestName,Runtime
98,org.apache.commons.math3.genetics.ListPopulationTest,26
99,org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionPenaltyAdapterTest,26
100,org.apache.commons.math3.stat.data.LotteryTest,26
101,org.apache.commons.math3.stat.descriptive.summary.SumSqTest,26
102,org.apache.commons.math3.stat.ranking.NaturalRankingTest,26
103,org.apache.commons.math3.fraction.FractionFieldTest,27
104,org.apache.commons.math3.stat.descriptive.moment.SecondMomentTest,27
105,org.apache.commons.math3.analysis.polynomials.PolynomialFunctionTest,28
106,org.apache.commons.math3.analysis.solvers.SecantSolverTest,28
107,org.apache.commons.math3.fraction.BigFractionFieldTest,28
108,org.apache.commons.math3.stat.data.LewTest,28
109,org.apache.commons.math3.stat.descriptive.rank.MaxTest,28
110,org.apache.commons.math3.util.PrecisionTest,28
111,org.apache.commons.math3.analysis.interpolation.NevilleInterpolatorTest,29
112,org.apache.commons.math3.analysis.solvers.RegulaFalsiSolverTest,29
113,org.apache.commons.math3.analysis.solvers.UnivariateSolverUtilsTest,29
114,org.apache.commons.math3.stat.clustering.DBSCANClustererTest,29
115,org.apache.commons.math3.stat.descriptive.moment.ThirdMomentTest,29
116,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatorTest,30
117,org.apache.commons.math3.stat.correlation.StorelessCovarianceTest,30
118,org.apache.commons.math3.stat.descriptive.summary.SumLogTest,30
119,org.apache.commons.math3.analysis.solvers.IllinoisSolverTest,31
120,org.apache.commons.math3.ml.clustering.DBSCANClustererTest,31
121,org.apache.commons.math3.ml.clustering.MultiKMeansPlusPlusClustererTest,31
122,org.apache.commons.math3.stat.descriptive.moment.FourthMomentTest,31
123,org.apache.commons.math3.analysis.interpolation.LinearInterpolatorTest,32
124,org.apache.commons.math3.geometry.euclidean.threed.PlaneTest,32
125,org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest,32
126,org.apache.commons.math3.stat.inference.ChiSquareTestTest,32
127,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunctionTest,33
128,org.apache.commons.math3.genetics.FitnessCachingTest,33
129,org.apache.commons.math3.linear.CholeskySolverTest,33
130,org.apache.commons.math3.optimization.MultivariateMultiStartOptimizerTest,33
131,org.apache.commons.math3.stat.descriptive.moment.SkewnessTest,33
132,org.apache.commons.math3.stat.descriptive.AggregateSummaryStatisticsTest,34
133,org.apache.commons.math3.stat.descriptive.moment.StandardDeviationTest,34
134,org.apache.commons.math3.stat.descriptive.moment.VectorialCovarianceTest,34
135,org.apache.commons.math3.optim.univariate.MultiStartUnivariateOptimizerTest,35
136,org.apache.commons.math3.stat.descriptive.moment.GeometricMeanTest,35
137,org.apache.commons.math3.stat.inference.OneWayAnovaTest,35
138,org.apache.commons.math3.util.BigRealTest,35
139,org.apache.commons.math3.analysis.interpolation.DividedDifferenceInterpolatorTest,36
140,org.apache.commons.math3.analysis.solvers.LaguerreSolverTest,36
141,org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionMappingAdapterTest,36
142,org.apache.commons.math3.optimization.direct.MultivariateFunctionPenaltyAdapterTest,36
143,org.apache.commons.math3.optimization.direct.SimplexOptimizerMultiDirectionalTest,36
144,org.apache.commons.math3.optimization.direct.PowellOptimizerTest,37
145,org.apache.commons.math3.stat.FrequencyTest,37
146,org.apache.commons.math3.stat.descriptive.summary.ProductTest,37
147,org.apache.commons.math3.complex.FrenchComplexFormatTest,38
148,org.apache.commons.math3.genetics.GeneticAlgorithmTestBinary,38
149,org.apache.commons.math3.geometry.euclidean.threed.Vector3DFormatTest,38
